,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
84,Southern,Chikwawa,2010-01-01,86049.765625,398224.71875,0.0,86049.765625,398224.71875,0.0,484256.40625,18.068225860595703,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,484274.484375,484274.484375,484274.484375,484274.484375,484274.4744758606,484274.4744758606,,,
85,Southern,Chiradzulu,2010-01-01,314446.1875,622.538818359375,0.0,314446.1875,622.538818359375,0.0,315068.71875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,315068.7263183594,315068.7263183594,315068.7263183594,315068.7263183594,315068.71875,315068.71875,,,
86,Southern,Machinga,2010-01-01,551363.25,4201.17919921875,0.0,551363.25,4201.17919921875,0.0,555564.5,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,555564.4291992188,555564.4291992188,555564.4291992188,555564.4291992188,555564.5,555564.5,,,
87,Southern,Mangochi,2010-01-01,832783.1875,0.0,0.0,832783.1875,0.0,0.0,832783.1875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,832783.1875,832783.1875,832783.1875,832783.1875,832783.1875,832783.1875,,,
88,Southern,Mulanje,2010-01-01,562793.3125,0.0,0.0,562793.3125,0.0,0.0,562793.3125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,562793.3125,562793.3125,562793.3125,562793.3125,562793.3125,562793.3125,,,
89,Southern,Mwanza,2010-01-01,103719.5234375,0.0,0.0,103719.5234375,0.0,0.0,103719.5234375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,103719.5234375,103719.5234375,103719.5234375,103719.5234375,103719.5234375,103719.5234375,,,
90,Southern,Neno,2010-01-01,122989.28125,0.2041713297367096,0.0,122989.28125,0.2041713297367096,0.0,122989.484375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,122989.48542132974,122989.48542132974,122989.48542132974,122989.48542132974,122989.484375,122989.484375,,,
91,Southern,Nsanje,2010-01-01,61079.03515625,197285.5,0.0,61079.03515625,197285.5,0.0,255449.828125,2914.70849609375,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,258364.53515625,258364.53515625,258364.53515625,258364.53515625,258364.53662109375,258364.53662109375,,,
92,Southern,Phalombe,2010-01-01,346277.71875,0.0,0.0,346277.71875,0.0,0.0,346277.71875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,346277.71875,346277.71875,346277.71875,346277.71875,346277.71875,346277.71875,,,
93,Southern,Thyolo,2010-01-01,659962.25,0.0,0.0,659962.25,0.0,0.0,659962.25,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,659962.25,659962.25,659962.25,659962.25,659962.25,659962.25,,,
94,Southern,Zomba,2010-01-01,589592.5,48885.60546875,0.0,589592.5,48885.60546875,0.0,638478.1875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,638478.10546875,638478.10546875,638478.10546875,638478.10546875,638478.1875,638478.1875,,,
95,Southern,Zomba City,2010-01-01,81803.375,4156.40380859375,0.0,81803.375,4156.40380859375,0.0,85959.78125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,85959.77880859375,85959.77880859375,85959.77880859375,85959.77880859375,85959.78125,85959.78125,,,
